"STATION","NAME","DATE","AWND","PRCP","SNWD","TAVG","TMAX","TMIN"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-14","7.38","0.12","0.0","66","74","58"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-15","5.59","0.66","0.0","52","58","45"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-16","3.80","0.25","0.0","46","48","44"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-17","6.04","0.01","0.0","50","59","41"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-18","3.80","0.00","0.0","58","73","43"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-19","3.36","0.00","0.0","62","78","46"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-20","2.91","0.00","0.0","71","86","56"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-21","4.25","0.00","0.0","67","77","56"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-22","5.59","0.00","0.0","64","72","56"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-23","5.37","0.00","0.0","66","78","53"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-24","4.70","0.00","0.0","65","74","55"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-25","6.49","0.00","0.0","63","70","55"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-26","9.62","1.16","0.0","57","61","52"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-27","7.61","2.27","0.0","50","54","46"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-28","3.13","0.08","0.0","56","65","46"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-29","4.70","0.15","0.0","57","67","46"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-30","5.37","0.40","0.0","53","57","48"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-07-31","8.50","0.04","0.0","51","55","47"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-01","3.58","0.01","0.0","51","58","43"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-02","4.92","0.05","0.0","52","58","45"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-03","5.37","0.30","0.0","51","53","48"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-04","4.92","0.01","0.0","55","61","48"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-05","3.36","0.10","0.0","50","56","43"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-06","3.36","0.00","0.0","59","68","50"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-07","8.05","0.00","0.0","59","74","43"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-08","4.03","0.00","0.0","60","72","48"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-09","2.24","0.00","0.0","59","75","42"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-10","2.24","0.00","0.0","62","79","45"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-11","2.68","0.03","0.0","63","71","55"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-12","5.82","0.07","0.0","65","73","56"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-13","4.25","0.01","0.0","61","67","54"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-14","5.37","0.00","0.0","63","74","51"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-15","4.03","0.01","0.0","66","74","57"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-16","5.59","0.01","0.0","60","68","51"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-17","4.25","0.03","0.0","51","56","45"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-18","2.01","0.00","0.0","52","62","42"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-19","2.91","0.00","0.0","54","66","41"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-20","4.92","0.00","0.0","56","70","42"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-21","5.14","0.00","0.0","54","66","42"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-22","5.82","0.03","0.0","50","57","42"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-23","5.59","0.50","0.0","47","51","42"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-24","7.83","0.28","0.0","53","57","49"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-25","4.25","0.01","0.0","56","63","49"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-26","3.80","0.00","0.0","56","62","50"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-27","2.01","0.00","0.0","57","69","44"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-28","2.46","0.00","0.0","58","71","44"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-29","1.79","0.00","0.0","57","70","43"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-30","4.92","0.18","0.0","59","67","51"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-08-31","4.70","0.26","0.0","55","58","52"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-01","4.70","0.37","0.0","52","55","49"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-02","4.92","0.17","0.0","51","54","48"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-03","3.36","0.05","0.0","47","51","42"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-04","2.91","0.04","0.0","47","53","41"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-05","2.46","0.00","0.0","48","56","39"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-06","1.79","0.02","0.0","46","54","38"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-07","0.22","0.00","0.0","44","54","33"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-08","2.46","0.00","0.0","49","59","39"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-09","3.13","0.00","0.0","48","61","35"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-10","3.58","0.00","0.0","48","56","40"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-11","5.82","0.59","0.0","45","48","41"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-12","5.37","0.00","0.0","40","49","31"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-13","4.70","0.00","0.0","38","48","27"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-14","4.25","0.00","0.0","38","48","27"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-15","2.68","0.00","0.0","35","45","24"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-16","3.36","0.00","0.0","38","50","26"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-17","13.20","0.00","0.0","37","43","30"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-18","6.49","0.00","0.0","33","41","25"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-19","9.40","0.00","0.0","33","40","26"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-20","9.62","0.00","0.0","36","46","26"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-21","7.61","0.00","0.0","37","41","32"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-22","4.70","0.00","0.0","35","44","26"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-23","9.40","0.00","0.0","35","45","24"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-24","12.97","0.00","0.0","37","46","28"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-25","6.04","0.01","0.0","36","41","31"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-26","3.80","0.00","0.0","35","42","27"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-27","1.57","0.00","0.0","40","51","28"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-28","4.92","0.01","0.0","42","55","28"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-29","1.34","0.01","0.0","53","64","41"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-09-30","4.92","0.00","0.0","58","71","45"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-01","3.80","0.00","0.0","58","72","43"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-02","6.04","0.00","0.0","57","70","43"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-03","5.14","0.06","0.0","52","59","45"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-04","4.70","0.01","0.0","47","55","39"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-05","8.05","0.00","0.0","47","59","35"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-06","5.59","0.00","0.0","52","63","40"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-07","3.36","0.00","0.0","47","57","36"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-08","1.57","0.00","0.0","38","46","30"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-09","1.79","0.02","0.0","35","43","27"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-10","2.68","0.00","0.0","38","45","31"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-11","0.89","0.01","0.0","32","33","30"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-12","2.24","0.00","0.0","31","32","30"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-13","3.58","0.02","0.0","30","34","26"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-14","3.13","0.00","0.0","31","37","25"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-15","0.89","0.00","0.0","36","44","27"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-16","2.46","0.00","0.0","33","43","22"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-17","2.68","0.00","0.0","24","30","17"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-18","3.13","0.00","0.0","22","24","19"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-19","2.91","0.00","0.0","20","24","16"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-20","2.68","0.00","0.0","24","30","17"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-21","1.79","0.00","0.0","21","24","17"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-22","1.57","0.01","0.0","20","22","17"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-23","0.00","0.00","0.0","21","25","17"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-24","0.00","0.00","0.0","21","25","17"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-25","0.00","0.04","0.0","21","27","15"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-26","0.00","0.05","0.0","28","29","26"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-27","1.34","0.04","1.0","28","30","25"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-28","3.80","0.00","1.0","24","30","18"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-29","2.01","0.00","1.0","18","24","11"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-30","0.22","0.00","1.0","21","27","15"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-10-31","1.34","0.08","1.0","23","32","14"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-01","2.24","0.00","1.0","32","35","29"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-02","1.34","0.15","1.0","32","34","30"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-03","2.01","0.00","1.0","35","38","31"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-04","0.89","0.00","1.0","33","34","31"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-05","1.12","0.00","1.0","30","34","25"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-06","0.89","0.15","1.0","28","32","23"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-07","1.12","0.02","2.0","31","33","29"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-08","4.92","0.12","2.0","32","36","28"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-09","9.40","0.07","1.0","32","34","30"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-10","3.80","0.05","2.0","22","30","14"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-11","5.37","0.00","4.0","12","18","5"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-12","6.26","0.11","4.0","11","18","4"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-13","1.12","0.01","5.0","1","5","-3"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-14","1.12","0.01","5.0","-9","-3","-16"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2003-11-15","0.67","0.00","4.0","-20","-13","-27"
